model,group_type,group,n,sessions,PREFIX,score_contribution,longitudinal_MAE,lateral_MAE,lateral_abs_total_share
FULL_infit_UTURN_train375,semantic,LANE_KEEP,0,0,,0.0,,,0.0
FULL_infit_UTURN_train375,semantic,TURN_LEFT,0,0,,0.0,,,0.0
FULL_infit_UTURN_train375,semantic,TURN_RIGHT,0,0,,0.0,,,0.0
FULL_infit_UTURN_train375,semantic,LANE_CHANGE_L,0,0,,0.0,,,0.0
FULL_infit_UTURN_train375,semantic,LANE_CHANGE_R,0,0,,0.0,,,0.0
FULL_infit_UTURN_train375,semantic,U_TURN,375,3,0.27435569116804104,0.27435569116804104,0.3258679904257029,0.2054342558322635,1.0
FULL_infit_UTURN_train375,geometry,near_straight_lt5deg,29,2,0.32698187282677094,0.025286598165270287,0.30129965000350784,0.08299745034984696,0.05289518682019325
FULL_infit_UTURN_train375,geometry,gentle_bend_5to15deg,26,2,0.13217054179250506,0.009163824230947018,0.09161722173061719,0.07289673736336164,0.04165190270564191
FULL_infit_UTURN_train375,geometry,left_bend_ge15deg,119,2,0.6223104247867891,0.1974798414656744,0.4280475494488093,0.3312420742936674,0.866255217149487
FULL_infit_UTURN_train375,geometry,right_bend_ge15deg,0,0,,0.0,,,0.0
FULL_infit_UTURN_train375,geometry,turnback_ge135deg,0,0,,0.0,,,0.0
FULL_infit_UTURN_train375,geometry,low_motion_or_partial_stop,201,2,0.07915191661595031,0.042425427306149364,0.21310239746920256,0.03755030724856782,0.039197693324677894
FULL_infit_UTURN_train375,future_first2_speed_change,nonstop_range_le_0p5mps,32,3,0.24440274753618293,0.02085570112308761,0.22477520505130683,0.09297344075723729,0.05181799283367876
FULL_infit_UTURN_train375,future_first2_speed_change,nonstop_range_gt_0p5mps,191,3,0.45256968970824013,0.23050882862473032,0.32750451491056415,0.2323126979355225,0.9379680483841556
FULL_infit_UTURN_train375,future_first2_speed_change,stop_or_depart,152,2,0.05672161534594516,0.022991161420223102,0.5081358653786152,0.03743136565898336,0.010213958782165694
FULL_infit_UTURN_train375,first_interval_speed_bins,0_to_0.5_mps,162,2,0.06334893731479573,0.02736674091999175,0.4155626154342889,0.039170112390622056,0.014083837902320347
FULL_infit_UTURN_train375,first_interval_speed_bins,0.5_to_2_mps,61,3,0.3626964764446964,0.05899862683500394,0.3574944869167447,0.0851530135356804,0.10214414612252048
FULL_infit_UTURN_train375,first_interval_speed_bins,2_to_5_mps,112,3,0.5404371058067431,0.1614105489342806,0.33335005898184394,0.3405671616103176,0.8274404490350789
FULL_infit_UTURN_train375,first_interval_speed_bins,5_to_10_mps,37,2,0.24519892598250928,0.024192960696940914,0.2196819216138907,0.06631402618236078,0.05392132142589043
FULL_infit_UTURN_train375,first_interval_speed_bins,10_to_15_mps,3,1,0.2983517227279759,0.0023868137818238073,0.2951736484714336,0.03655835302604004,0.002410245514190019
FULL_infit_UTURN_train375,first_interval_speed_bins,15_to_inf_mps,0,0,,0.0,,,0.0
